id;Sub category;Questions;Correct answer;A;B;C;Save correct Answer;;Étiquettes de lignes;Nombre de id
1;Politeness;fine;b;dobre;dobrze;nowy;dobrze;;Basis;32
2;Everyday;new;b;nauka;nowy;nove;nowy;;Everyday;16
3;Everyday;old;b;świat;stary;nowy;stary;;Food;23
4;Food;butter;a;masło;kapusta;grzyby;masło;;Places;23
5;Food;cabbage;a;kapusta;grzyby;masło;kapusta;;Politeness;20
6;Food;mushrooms;a;grzyby;masło;kapusta;grzyby;;Total général;114
7;Food;ice cream;b;zimna;lody;lizać;lody;;;
8;Food;lemon;a;cytryna;limonka;pomarańczowy;cytryna;;;
9;Food;soup;b;soupa;zupa;supa;zupa;;;
10;Food;sugar;c;słodki;sól;cukier;cukier;;;
11;Food;apple;c;gruszka;sok;jabłko;jabłko;;;
12;Food;rasberry;c;masło;moliowa;malina;malina;;;
13;Food;onion;b;onion;cebula;czosnek;cebula;;;
14;Food;peppers;b;pépryka;papryka;pomidory;papryka;;;
15;Food;tomatoes;c;czosnek;tómat;pomidory;pomidory;;;
16;Places;bathroom;c;sto;bat;łazienka;łazienka;;;
17;Places;pharmacy;b;pharmacy;apteka;stomatologie;apteka;;;
18;Places;restaurant;c;restauraczja;restaurant;restauracja;restauracja;;;
19;Places;toilet;c;toilet;toalety;toaleta;toaleta;;;
20;Places;bank;b;banku;bank;banky;bank;;;
21;Places;beach;c;plasa;plaja;plaża;plaża;;;
22;Food;café;c;kawiarnié;kawiarnika;kawiarnia;kawiarnia;;;
23;Food;flowers;c;kwiat;kwiaté;kwiaty;kwiaty;;;
24;Places;house;c;huz;basen;dom;dom;;;
25;Places;library;b;livrary;biblioteka;library;biblioteka;;;
26;Everyday;science;a;nauka;nowy;vtorek;nauka;;;
27;Places;sea;c;ogród;rzeka;morze;morze;;;
28;Basics;one;b;cztery;jeden;osiem;jeden;;;
29;Basics;two;a;dwa;osiem;cztery;dwa;;;
30;Basics;three;c;sześć;cztery;trzy;trzy;;;
31;Basics;four;c;osiem;sześć;cztery;cztery;;;
32;Basics;five;b;trzy;pięć;dwa;pięć;;;
33;Basics;six;c;pięć;osiem;sześć;sześć;;;
34;Basics;seven;b;pięć;siedem;osiem;siedem;;;
35;Basics;eight;b;siedem;osiem;sześć;osiem;;;
36;Basics;nine;c;osiem;dziesięć;dziewięć;dziewięć;;;
37;Basics;ten;c;jeden;dziewięć;dziesięć;dziesięć;;;
38;Basics;hundred;c;osiem;tysiąc;sto;sto;;;
39;Basics;million;b;sto;milion;tysiąc;milion;;;
40;Places;river;a;rzeka;ogród;morze;rzeka;;;
41;Food;cream;c;sorbety;lody;śmietana;śmietana;;;
42;Politeness;no;b;no;nie;niem;nie;;;
43;Politeness;Okay;a;okej;okay;oké;okej;;;
44;Politeness;I don’t know.;c;nie jem;nie piję;nie wiem;nie wiem;;;
45;Everyday;right;b;lewo;prawo;dobzre;prawo;;;
46;Everyday;left;a;lewo;dobzre;prawo;lewo;;;
47;Basics;English;a;angielsku;engliswku;ingulesku;angielsku;;;
48;Basics;Polish;c;polska;pole;polsku;polsku;;;
