id;Sub category;Questions;Correct answer;A;B;C;;Total :;138
1;Politeness;good;a;dobry;;;;Basis;33
2;Everyday;new;a;nowy;;;;Everyday;12
3;Everyday;old;a;stary;;;;Food;33
4;Food;bread;a;chleb;;;;Places;33
5;Food;butter;a;mas_o;;;;Politeness;27
6;Food;cheese;a;ser;;;;;
7;Food;chicken;a;kurczak;;;;;
8;Food;dessert;a;deser;;;;;
9;Food;dinner;a;obiad;;;;;
10;Food;cabbage;a;kapusta;;;;;
11;Food;mushrooms;a;grzyby;;;;;
12;Food;ice cream;a;lody;;;;;
13;Food;lemon;a;cytryna;;;;;
14;Food;meat;a;mi_so;;;;;
15;Food;oven;a;piekarnik;;;;;
16;Food;sausage;a;kie_basa;;;;;
17;Food;soup;a;zupa;;;;;
18;Food;sugar;a;cukier;;;;;
19;Food;apple;a;jab_ko;;;;;
20;Food;rasberry;a;malina;;;;;
21;Food;garlic;a;czosnek;;;;;
22;Food;onion;a;cebula;;;;;
23;Food;peppers;a;papryka;;;;;
24;Food;tomatoes;a;pomidory;;;;;
25;Places;bathroom;a;_azienka;;;;;
26;Places;pharmacy;a;apteka;;;;;
27;Places;restaurant;a;restauracja;;;;;
28;Places;toilet;a;toaleta;;;;;
29;Places;bank;a;bank;;;;;
30;Places;beach;a;pla_a;;;;;
31;Food;cafe;a;kawiarnia;;;;;
32;Food;flowers;a;kwiaty;;;;;
33;Places;geography;a;geografia;;;;;
34;Places;history;a;historia;;;;;
35;Places;house;a;dom;;;;;
36;Places;lake;a;jezioro;;;;;
37;Places;library;a;biblioteka;;;;;
38;Everyday;science;a;nauka;;;;;
39;Places;sea;a;morze;;;;;
40;Places;swimming pool;a;basen;;;;;
41;Places;theater;a;teatr;;;;;
42;Basis;one;a;jeden;;;;;
43;Basis;two;a;dwa;;;;;
44;Basis;three;a;trzy;;;;;
45;Basis;four;a;cztery;;;;;
46;Basis;five;a;pi__;;;;;
47;Basis;six;a;sze__;;;;;
48;Basis;seven;a;siedem;;;;;
49;Basis;eight;a;osiem;;;;;
50;Basis;nine;a;dziewi__;;;;;
51;Basis;ten;a;dziesi__;;;;;
52;Basis;hundred;a;sto;;;;;
53;Basis;one thousand;a;tysi_c;;;;;
54;Basis;million;a;milion;;;;;
55;Places;bathroom;a;_azienka;;;;;
56;Places;house ;a;dom;;;;;
57;Places;restaurant;a;restauracja;;;;;
58;Places;pharmacy;a;apteka;;;;;
59;Places;river;a;rzeka;;;;;
60;Places;garden;a;ogród;;;;;
61;Places;lake;a;jezioro;;;;;
62;Food;cream;a;_mietana;;;;;
63;Politeness;Yes;a;Tak;;;;;
